3967.885547971, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.914684017, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.944913012, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3967.975194099, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.018893076, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.036071492, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.063839222, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.092839714, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.126581369, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.154149675, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.184325412, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.218402841, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
3968.243566936, geometry_msgs.msg.Vector3(x=0.23675696550000008, y=0.0, z=0.0), geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.43046721000000016)
